"","Provider_Name","Difference","Percent"
"813","BETHANY NURSING HOME, INC",0.05287,"295.53%"
"814","BETHANY POINTE HEALTH CAMPUS",-0.03027,"-100%"
"815","BETHANY RIVERSIDE",0.0062,"72.68%"
"816","BETHANY ST JOSEPH CARE CTR",0.00722,"12.27%"
"817","BETHANY VILLAGE",0.000410000000000001,"10.33%"
"818","BETHANY WOODS NURSING AND REHABILITATION CENTER",0.01194,"51.33%"
"819","BETHEA BAPTIST HEALTHCARE CENTER",0.01454,"119.08%"
"820","BETHEL CARE CENTER",0.02356,"121.95%"
"821","BETHEL HEALTH CARE CENTER",0.009665,"34.7%"
"822","BETHEL HOME",-0.01238,"-17.52%"
"823","BETHEL HOME AND SERVICES",-0.02902,"-100%"
"824","BETHEL LUTHERAN HOME",0.003645,"61.16%"
"825","BETHEL LUTHERAN NURSING & REHABILITATION CENTER",0.00338,"8.17%"
"826","BETHEL NURSING AND REHAB CENTER",0.00105,"21.78%"
"827","BETHEL NURSING HOME CO INC",0.02501,"121.29%"
"828","BETHESDA",-0.00896,"-20.32%"
"829","BETHESDA CARE CENTER",-0.00886,"-37.99%"
"830","BETHESDA DILWORTH",-0.01164,"-100%"
"831","BETHESDA HEALTH AND REHABILITATION",0.00549,"46.33%"
"832","BETHESDA HEALTH CARE CENTER",-0.01342,"-52.86%"
"833","BETHESDA HOME",-0.000149999999999997,"-0.9%"
"834","BETHESDA HOME OF ABERDEEN",0.00889,"77.91%"
"835","BETHESDA MEADOW",-0.00098,"-12.37%"
"836","BETHESDA REHAB & SENIOR CARE",-0.00513,"-20.59%"
"837","BETHESDA SOUTHGATE",0.02012,"146.01%"
"838","BETHLEHEM COMMONS CARE CENTER",0.01317,"78.82%"
"839","BETHLEHEM WOODS NURSING AND REHABILITATION",-0.02183,"-100%"
"840","BETHLEN HM OF THE HUNGARIAN RF",0.00498,"18.37%"
"841","BETSY ROSS REHABILITATION CTR",-0.01731,"-70.08%"
"842","BETTENDORF HEALTH CARE CENTER",-0.00306,"-19.48%"
"843","BETTY ANN NURSING CENTER",0.01669,"100.66%"
"844","BEVERLY PARK PLACE HEALTH AND REHAB",-0.01141,"-100%"
"845","BEVERLY WEST HEALTHCARE",0.01283,"84.57%"
"846","BEZALEL REHABILITATION AND NURSING CENTER",0.0207,"137.91%"
"847","BIBB MED CENTER NURSING HOME",-0.03611,"-100%"
"848","BICKFORD HEALTH CARE CENTER",-0.0176,"-56.12%"
"849","BIG BEND WOODS HEALTHCARE CENTER",0.00112,"2.26%"
"850","BIG BLUE HEALTHCARE, INC, DBA RIVERBEND POST ACUTE",-0.00047,"-6.5%"
"851","BIG ELM RETIREMENT AND NURSING CENTERS",-0.01576,"-100%"
"852","BIG MEADOWS",0.02362,"51.04%"
"853","BIG RIVER NURSING & REHABILITATION CENTER",-0.00266,"-12.76%"
"854","BIG SKY HEALTHCARE COMMUNITY",-0.02289,"-100%"
"855","BIG SPRING CARE CENTER FOR REHAB AND HEALTHCARE",0.00572,"12.2%"
"856","BIG SPRING CENTER FOR SKILLED CARE",0.03218,"225.67%"
"857","BILLINGS HEALTH & REHABILITATION",0.02844,"300.63%"
"858","BINGHAM MEMORIAL SKILLED NURSING & REHABILITATION",0.03456,"117.87%"
"859","BIRCH VIEW NURSING CENTER",-0.00497,"-10.89%"
"860","BIRCHWOOD CARE CENTER",-0.00149,"-5.67%"
"861","BIRCHWOOD HEALTH CARE CENTER",-0.01271,"-49.24%"
"862","BIRCHWOOD HEALTHCARE AND REHAB CENTER",-0.01133,"-32.76%"
"863","BIRCHWOOD MANOR",-0.00675,"-22.88%"
"864","BIRCHWOOD NURSING AND REHABILITATION CENTER",0.00919999999999999,"15.63%"
"865","BIRCHWOOD PLAZA",0.00375,"17.71%"
"866","BIRMINGHAM GREEN",0.00803,"171.58%"
"867","BIRMINGHAM HEALTH CENTER",-0.00143,"-8.07%"
"868","BIRMINGHAM NURSING AND REHABILITATION CTR",-0.0074,"-100%"
"869","BISHOP DAVIES NURSING CENTER",0.01075,"239.96%"
"870","BISHOP DRUMM RETIREMENT CENTER",-0.00767,"-17.15%"
"871","BISHOP JOSEPH HODGES CONTINUOUS CARE CENTER",0.00138,"12.04%"
"872","BISHOP MCCARTHY CENTER FOR REHABILITATION & HC",0.00115,"22.95%"
"873","BISHOP NOA HOME FOR SENIOR CITIZENS",-0.00611,"-8.73%"
"874","BISHOP REHABILITATION AND NURSING CENTER",0.01219,"29.86%"
"875","BISHOP SPENCER PLACE, INC, THE",0.01054,"14.85%"
"876","BISHOPS GLEN RETIREMENT CENTER",-0.00354,"-6.35%"
"877","BIXBY KNOLLS TOWERS HEALTH CARE & REHAB CENTER",-0.00799,"-26.13%"
"878","BLACK HILLS CARE AND REHABILITATION CENTER",-0.01101,"-100%"
"879","BLADEN EAST HEALTH AND REHAB",-0.0046,"-24.12%"
"880","BLAIR HOUSE",-0.02361,"-59.17%"
"881","BLAIR MANOR",-0.000529999999999999,"-1.99%"
"882","BLAIR RIDGE HEALTH CAMPUS",-0.00853,"-27.17%"
"883","BLAIRE HOUSE OF MILFORD",0.03175,"227.44%"
"884","BLAIRE HOUSE OF TEWKSBURY",-0.01451,"-52.9%"
"885","BLANCO VILLA NURSING AND REHABILITATION LP",0.0119,"29.79%"
"886","BLEDSOE COUNTY NURSING HOME",-0.00699000000000001,"-8.06%"
"887","BLOOMFIELD CARE CENTER",-0.04589,"-76.24%"
"888","BLOOMFIELD HEALTH CARE CENTER",0.00891,"135.62%"
"889","BLOOMFIELD HEALTHCARE AND REHAB CENTER",-0.00158,"-3.48%"
"890","BLOOMFIELD NURSING AND REHAB",0.00796,"39.15%"
"891","BLOOMFIELD ORCHARD VILLA",-0.000399999999999999,"-2.57%"
"892","BLOOMINGTON NURSING AND REHABILITATION CENTER",-0.03272,"-100%"
"893","BLOOMINGTON REHABILITATION & HCC",-0.02207,"-100%"
"894","BLOOMSBURG CARE CENTER AND REHABILITATION CENTER",-0.01427,"-40.78%"
"895","BLOSSOM HILL CARE CENTER",-0.01638,"-100%"
"896","BLOSSOM NURSING AND REHAB CENTER",0.02935,"187.3%"
"897","BLUE HILL CARE CENTER",-0.03752,"-54.7%"
"898","BLUE RIDGE HEALTH AND REHABILITATION CENTER",-0.00972,"-32.77%"
"899","BLUE RIDGE IN BROOKVIEW HOUSE, LLC",-0.03222,"-84.04%"
"900","BLUE RIDGE IN GEORGETOWN",-0.00512,"-22.93%"
"901","BLUE RIDGE IN THE FIELDS, LLC",-0.00557,"-24.23%"
"902","BLUE RIDGE OF SUMTER",-0.00625,"-21.32%"
"903","BLUE RIDGE ON THE MOUNTAIN",0.01901,"162.62%"
"904","BLUE RIDGE REHAB CENTER",0.00656,"20.86%"
"905","BLUE RIVER HEALTHCARE, INC",-0.04135,"-63.77%"
"906","BLUE VALLEY LUTHERAN NURSING HOME",-0.01799,"-42.84%"
"907","BLUEBERRY HILL REHABILITATION AND HEALTHCARE CTR",-0.02293,"-74.69%"
"908","BLUEBONNET NURSING AND REHABILITATION LP",-0.00329,"-10.34%"
"909","BLUEGRASS CARE & REHABILITATION CENTER",0.00256,"15.98%"
"910","BLUFFS, THE",-0.00839,"-31.24%"
"911","BLYTHE POST ACUTE LLC",-0.03185,"-39.14%"
"912","BOLIVAR MEDICAL CENTER LTC",-0.02328,"-27.52%"
"913","BON SECOURS MARIA MANOR NURSING CARE CENTER",-0.01354,"-78.72%"
"914","BON SECOURS-MARYVIEW NURSING C",-0.0059,"-26.83%"
"915","BONIFAY NURSING AND REHAB CENTER",-0.0076,"-17.11%"
"916","BONNIE BLUEJACKET MEMORIAL NURSING HOME",0.05126,"43.48%"
"917","BONTERRA TRANSITIONAL CARE & REHABILITATION",0.02053,"305.96%"
"918","BORDERVIEW REHAB & LIVING CTR",-0.000700000000000003,"-2.93%"
"919","BORGER HEALTHCARE CENTER",-0.01173,"-12.67%"
"920","BORGESS GARDENS",0.00331999999999999,"4.8%"
"921","BORNEMANN NURSING HOME",-0.01445,"-100%"
"922","BORO PARK CENTER FOR NURSING AND REHAB CENTER",0.00981000000000001,"25.78%"
"923","BOSWELL-PARKER HEALTH AND REHABILITATION",-0.01039,"-38.16%"
"924","BOTHELL HEALTH CARE",-0.01589,"-41.97%"
"925","BOTSFORD CONTINUING HEALTH CENTER",-0.00224,"-26.32%"
"926","BOULDER CITY HOSPITAL SNF",0.04971,"194.41%"
"927","BOULDER CREEK POST ACUTE",0.01206,"64.11%"
"928","BOULDER PARK TERRACE",0.00616,"12.55%"
"929","BOULEVARD HEALTH CENTER",0.000870000000000001,"6.76%"
"930","BOULEVARD MANOR, LLC",-0.00115000000000001,"-3.38%"
"931","BOULEVARD REHABILITATION CENTER",4.99999999999997e-05,"0.68%"
"932","BOULEVARD TEMPLE CARE CENTER, LLC",0.01113,"77.89%"
"933","BOULEVARD TERRACE REHABILITATION AND NURSING HOME",-0.01452,"-48.56%"
"934","BOUNDARY WATERS CARE CENTER",-0.0367,"-53.41%"
"935","BOURBON HEIGHTS NURSING HOME",-0.00408,"-9.19%"
"936","BOURNE MANOR EXTENDED CARE FACILITY",0.00222,"7.72%"
"937","BOWLING GREEN CARE CENTER",-0.0167,"-100%"
"938","BOWLING GREEN HEALTH & REHABILITATION CENTER",-0.00039,"-4.5%"
"939","BOWLING GREEN MANOR",-0.000199999999999999,"-1.03%"
"940","BOWLING GREEN NURSING AND REHABILITATION CENTER",-0.0345,"-55.43%"
"941","BOYINGTON HEALTH AND REHABILITATION",0.01442,"90.98%"
"942","BRACKENVILLE CENTER",-0.01052,"-51.67%"
"943","BRADEN RIVER REHABILITATION CENTER LLC",-0.00956,"-64.64%"
"944","BRADENTON HEALTH CARE",-0.03176,"-100%"
"945","BRADFORD COUNTY MANOR",-0.01276,"-45.41%"
"946","BRADFORD HEIGHTS HEALTH & REHAB CENTER, INC",-0.01127,"-42.1%"
"947","BRADFORD HOUSE NURSING AND REHAB, LLC",0.00721,"15.63%"
"948","BRADFORD MANOR",-0.0013,"-11.38%"
"949","BRADFORD REHABILITATION CENTER (THE)",0.00919,"35.35%"
"950","BRADFORD VILLAGE",0.00149,"12.02%"
"951","BRADLEY HEALTH CARE & REHAB",-0.02143,"-59.13%"
"952","BRADY WEST REHAB & NURSING",0.00148,"7.2%"
"953","BRAEMOOR HEALTH CENTER",-0.01113,"-100%"
"954","BRAEVIEW MANOR",-0.01442,"-100%"
"955","BRAINTREE MANOR HEALTHCARE",0.00494,"78.04%"
"956","BRAKELEY PARK CENTER",-0.00809,"-26.61%"
"957","BRANDEL MANOR",-0.00773,"-23.57%"
"958","BRANDON COURT",2.99999999999988e-05,"0.29%"
"959","BRANDON HEALTH AND REHABILITATION CENTER",-0.00945,"-100%"
"960","BRANDON NURSING AND REHABILITATION CENTER",0.00641,"52.71%"
"961","BRANDON WOODS AT ALVAMAR",0.00298,"9.76%"
"962","BRANDON WOODS OF DARTMOUTH",-0.00859,"-50.2%"
"963","BRANDON WOODS OF NEW BEDFORD",0.01006,"113.42%"
"964","BRANDYWINE HALL",-0.01017,"-100%"
"965","BRANDYWYNE HEALTH CARE CENTER",-0.01516,"-100%"
"966","BRANTWOOD NH & RETIREMENT CENT",3.00000000000005e-05,"0.25%"
"967","BRAXTON HEALTH CARE CENTER",-0.01689,"-100%"
"968","BRAZOS VALLEY CARE HOME",0.00172,"8.39%"
"969","BRAZOSVIEW HEALTHCARE CENTER",-3.99999999999984e-05,"-0.19%"
"970","BREESE NURSING HOME",-0.03896,"-71.45%"
"971","BREMOND NURSING AND REHABILITATION CENTER",-0.0206,"-57.57%"
"972","BRENDAN HOUSE",0.00814,"23.64%"
"973","BRENHAM NURSING AND REHABILITATION CENTER",-0.01268,"-67.38%"
"974","BRENN-FIELD NURSING CENTER",-0.016,"-100%"
"975","BRENT B TINNIN MANOR",-0.08402,"-100%"
"976","BRENTWOOD EXTENDED CARE & REHAB",0.0288,"116.46%"
"977","BRENTWOOD HEALTH AND REHABILITATION",0.00825,"56.16%"
"978","BRENTWOOD HEALTH CARE CENTER",0.010225,"150.7%"
"979","BRENTWOOD NORTH HC & REHAB CTR",0.00566,"61.45%"
"980","BRENTWOOD PLACE FOUR",-0.00548,"-14.99%"
"981","BRENTWOOD PLACE ONE",-0.00771,"-43.17%"
"982","BRENTWOOD PLACE THREE",-0.02111,"-43.43%"
"983","BRENTWOOD PLACE TWO",0.00643,"46.23%"
"984","BRENTWOOD POST ACUTE",0.03176,"146.36%"
"985","BRENTWOOD REHABILITATION AND HEALTHCARE CTR (THE)",-0.00716,"-52.65%"
"986","BRENTWOOD TERRACE HEALTHCARE AND REHABILITATION",-0.00834,"-31.19%"
"987","BRETHREN CARE VILLAGE HEALTH CARE CENTER",-0.000290000000000002,"-1.18%"
"988","BRETHREN RETIREMENT COMMUNITY",0.0081,"100.87%"
"989","BREWSTER HEALTH CENTER",-0.00189,"-7.06%"
"990","BREWSTER VILLAGE",-0.01003,"-29.99%"
"991","BRIA OF CHICAGO HEIGHTS",-0.01099,"-100%"
"992","BRIA OF FOREST EDGE",0.00265,"22.27%"
"993","BRIA OF PALOS HILLS",-0.00516,"-28.1%"
"994","BRIA OF RIVER OAKS",0.00232,"12.68%"
"995","BRIA OF TRINITY VILLAGE",-0.00956,"-26.2%"
"996","BRIA OF WESTMONT",7.00000000000006e-05,"1.17%"
"997","BRIAN CENTER H & REHAB WEAVERV",-0.000539999999999999,"-6.03%"
"998","BRIAN CENTER HEALTH & REHAB HICKORY VIEWMONT",0.00626,"25.36%"
"999","BRIAN CENTER HEALTH & REHAB/HE",0.01882,"103.41%"
"1000","BRIAN CENTER HEALTH & REHAB/YA",-0.00034,"-5.06%"
"1001","BRIAN CENTER HEALTH & REHABILITATION/STATESVILLE",-0.00692,"-38.81%"
"1002","BRIAN CENTER HEALTH & RETIREMENT/MONROE",0.01017,"73.91%"
"1003","BRIAN CENTER HEALTH AND REHAB/WAYNESVILLE",-0.02016,"-100%"
"1004","BRIAN CENTER HEALTH AND REHABILITATION",-0.00684,"-12.53%"
"1005","BRIAN CENTER HEALTH AND REHABILITATION/GOLDSBORO",-0.00139,"-6.02%"
"1006","BRIAN CENTER HEALTH AND RETIREMENT",-0.01007,"-100%"
"1007","BRIAN CENTER HLTH & REHAB",-0.02124,"-73.04%"
"1008","BRIAN CENTER NURSING CARE - ST ANDREWS",0.02206,"323.46%"
"1009","BRIAN CENTER NURSING CARE/LEXI",-0.01685,"-66.65%"
"1010","BRIAN CENTER NURSING CARE/SHAM",-0.000949999999999999,"-7.56%"
"1011","BRIAN CENTER SOUTHPOINT",0.02546,"302.02%"
"1012","BRIAN CTR HEALTH & REHAB/GASTO",-0.00631,"-45.43%"
"1013","BRIAN CTR HEALTH & REHAB/HENDERSONVILLE",-0.00131,"-6.28%"
"1014","BRIAN CTR HEALTH & REHAB/SALISBURY",-0.0011,"-16.87%"
"1015","BRIAN CTR HEALTH & REHAB/SPRUC",-0.01073,"-100%"
"1016","BRIAN CTR HEALTH & REHABI HICK",-0.01233,"-65.65%"
"1017","BRIAN CTR HLTH & REHAB  BREVARD",-0.0214,"-57.95%"
"1018","BRIAN CTR HLTH & REHABILITATIO",-0.02325,"-100%"
"1019","BRIAR HILL HEALTH CAMPUS",0.02936,"63.22%"
"1020","BRIAR HILL HEALTH CARE RESIDEN",-0.0041,"-30.83%"
"1021","BRIAR HILL REST HOME",-0.00051,"-2.87%"
"1022","BRIAR PLACE NURSING",0.00453,"30.14%"
"1023","BRIARCLIFF HEALTH & REHABILITATION CENTER",-0.00783,"-12.49%"
"1024","BRIARCLIFF HEALTH CARE CENTER",0.02101,"53.83%"
"1025","BRIARCLIFF HEALTH CENTER",0.00974,"174.55%"
"1026","BRIARCLIFF HEALTH CENTER OF GREENVILLE INC",-0.01498,"-45.6%"
"1027","BRIARCLIFF NURSING AND REHABILITATION CENTER",-0.000239999999999997,"-0.63%"
"1028","BRIARCREST NURSING CENTER",0.00227,"9.57%"
"1029","BRIARFIELD MANOR",-0.01483,"-34.04%"
"1030","BRIARLEAF NURSING AND CONVAL C",-0.00335,"-14.49%"
"1031","BRIARWOOD AT TIMBER RIDGE",-0.01912,"-22.26%"
"1032","BRIARWOOD COMMUNITY LIVING CTR",0.02362,"62.13%"
"1033","BRIARWOOD HEALTHCARE CENTER",0.00194,"10.78%"
"1034","BRIARWOOD MANOR CARE CENTER",-0.04763,"-100%"
"1035","BRIARWOOD NURSING AND REHABILITATION CENTER,INC",0.01985,"87.18%"
"1036","BRIARWOOD REHABILITATION & HEALTHCARE CENTER",0.00906,"105.47%"
"1037","BRIARWOOD THE",-0.02754,"-100%"
"1038","BRIARWOOD VILLAGE",-0.00227,"-21.74%"
"1039","BRIDGE POINT CENTER",-0.01346,"-15.35%"
"1040","BRIDGE VIEW NURSING HOME INC",-0.01232,"-32.85%"
"1041","BRIDGECREST REHABILITATION SUITES",0.01775,"76.48%"
"1042","BRIDGEPOINT SUB-ACUTE AND REHAB CAPITOL HILL",-0.01479,"-33.4%"
"1043","BRIDGEPOINT SUBACUTE AND REHAB NATIONAL HARBOR",-0.00974,"-50.54%"
"1044","BRIDGEPORT HEALTH CARE CENTER",0.00615666666666667,"53.38%"
"1045","BRIDGEPORT MANOR",-0.00875,"-27.52%"
"1046","BRIDGES OF APPLETON (THE)",-0.00089,"-7.83%"
"1047","BRIDGES OF MILWAUKEE REHAB AND CARE CENTER (THE)",-0.01212,"-44.71%"
"1048","BRIDGEVIEW ESTATES",-0.00159,"-5.26%"
"1049","BRIDGEVIEW HEALTH CARE CENTER",0.00543,"45.67%"
"1050","BRIDGEVILLE REHABILITATION & CARE CENTER",-0.01295,"-32.76%"
"1051","BRIDGEWATER CENTER FOR REHAB & NURSING L L C",-0.01118,"-100%"
"1052","BRIDGEWATER REHABILITATION CENTRE",-0.03942,"-43.51%"
"1053","BRIDGEWAY CARE AND REHAB CENTER AT BRIDGEWATER",0.00015,"2.47%"
"1054","BRIDGEWAY CARE AND REHAB CENTER AT HILLSBOROUGH",-0.01266,"-100%"
"1055","BRIDGEWAY SENIOR LIVING",-0.01088,"-20.3%"
"1056","BRIDGEWOOD HEALTH CARE CENTER",0.01038,"73.41%"
"1057","BRIGHT GLADE HEALTH AND REHABILITATION CENTER INC",-0.0324,"-60.47%"
"1058","BRIGHTMOOR HEALTH CARE, INC",0.00725,"122.67%"
"1059","BRIGHTMOOR NURSING CENTER",-0.00034,"-1.72%"
"1060","BRIGHTON CARE CENTER",-0.04607,"-82.52%"
"1061","BRIGHTON CORNERSTONE GROUP, LLC",-0.00155,"-9.43%"
"1062","BRIGHTON GARDENS OF OMAHA",-0.14784,"-100%"
"1063","BRIGHTON HOUSE REHABILITATION & NURSING CENTER",-0.0092,"-45.54%"
"1064","BRIGHTON MANOR",-0.0175,"-61.71%"
"1065","BRIGHTON PLACE NORTH",-0.00246,"-6.47%"
"1066","BRIGHTON PLACE SAN DIEGO",-0.00235,"-15.09%"
"1067","BRIGHTON PLACE SPRING VALLEY",-0.01754,"-100%"
"1068","BRIGHTON PLACE WEST",-0.04601,"-100%"
"1069","BRIGHTON REHABILITATION AND WELLNESS CENTER",0.00153,"81.82%"
"1070","BRIGHTWOOD CENTER",-0.00719,"-45.45%"
"1071","BRINTON MANOR",-0.00946,"-100%"
"1072","BRINTON WOODS HEALTH & REHAB CENTER AT DUPONT CIRC",-0.01304,"-76.08%"
"1073","BRINTON WOODS HEALTH & REHAB CTR AT ARLINGTON WEST",0.00108,"14.65%"
"1074","BRINTON WOODS HEALTH & REHAB CTR OF DENTON",-0.02732,"-58.24%"
"1075","BRINTON WOODS HEALTH & REHAB CTR OF PIKESVILLE",-0.0278,"-53.88%"
"1076","BRINTON WOODS HEALTH & REHAB OF WASHINGTON DC",-0.01348,"-100%"
"1077","BRINTON WOODS POST ACUTE CARE CENTER",0.0057,"24.01%"
"1078","BRISTOL AT TAMPA REHAB AND NURSING CENTER LLC",-0.00812,"-52.29%"
"1079","BRITTANY MANOR",-0.01734,"-67.55%"
"1080","BROAD ACRES HEALTH AND REHAB",-0.01296,"-33.21%"
"1081","BROAD MOUNTAIN HEALTH AND REHABILITATION CENTER",-0.00889,"-55.22%"
"1082","BROADMEAD",-0.02849,"-60.18%"
"1083","BROADMOOR MEDICAL LODGE",-0.02196,"-40.07%"
"1084","BROADVIEW MULTI CARE CENTER",-0.01127,"-100%"
"1085","BROADWAY CARE CENTER OF MAPLE HEIGHTS",-0.0033,"-7.09%"
"1086","BROADWAY HEALTH AND REHAB",0.01271,"48.7%"
"1087","BROADWAY LIVING CENTER",-0.01363,"-100%"
"1088","BROADWAY MANOR NURSING HOME",-0.02535,"-28.04%"
"1089","BROADWAY VILLA POST ACUTE",-0.000490000000000001,"-2.92%"
"1090","BROCKTON HEALTH CENTER",-0.00774,"-100%"
"1091","BRODIE RANCH NURSING & REHAB CENTER",-0.00446,"-18.57%"
"1092","BROKEN ARROW NURSING HOME, INC",0.0201,"193.64%"
"1093","BROKEN BOW NURSING HOME",0.00982,"69.55%"
"1094","BRONSON COMMONS",-0.01307,"-100%"
"1095","BRONX CENTER FOR REHAB HEALTH",-0.01396,"-39.25%"
"1096","BRONX GARDENS REHABILITATION & NURSING CENTER",0.00068,"4.78%"
"1097","BRONX LEBANON SPECIAL CARE CENTER",0.00514,"48.04%"
"1098","BRONX PARK REHABILITATION & NURSING CENTER",-0.01036,"-48.66%"
"1099","BROOK STONE LIVING CENTER",0.03041,"190.78%"
"1100","BROOKCREST",0.00788,"50.55%"
"1101","BROOKDALE BROADWAY CITYVIEW",-0.02143,"-57.87%"
"1102","BROOKDALE GREENWOOD VILLAGE",0.04256,"101.41%"
"1103","BROOKDALE LAKEWAY 2",-0.05026,"-100%"
"1104","BROOKDALE MOUNTAIN VIEW",-0.0467,"-36.1%"
"1105","BROOKDALE NORTH CHANDLER",-0.02812,"-52.78%"
"1106","BROOKDALE PLACE WILLOWBROOK",-0.01236,"-19.62%"
"1107","BROOKDALE PLAZA LISLE SNF",0.00406,"14.44%"
"1108","BROOKDALE RICHMOND PLACE SNF",-0.000490000000000001,"-3.46%"
"1109","BROOKDALE RIVERWALK SNF (CA)",-0.00421,"-14.96%"
"1110","BROOKDALE ROSEHILL",-0.00462,"-15.59%"
"1111","BROOKDALE SMITHFIELD",-0.07441,"-100%"
"1112","BROOKDALE UNIVERSITY PARK SNF (AL)",0.00316,"17.52%"
"1113","BROOKDALE WESTLAKE HILLS",0.03105,"132.13%"
"1114","BROOKE GROVE REHAB. & NSG CTR",-0.01221,"-61.82%"
"1115","BROOKE HAVEN HEALTHCARE",0.04002,"133.09%"
"1116","BROOKE KNOLL VILLAGE",-0.02242,"-66.81%"
"1117","BROOKEFIELD PARK",0.00497,"13.53%"
"1118","BROOKESTONE ACRES",-0.0205,"-100%"
"1119","BROOKESTONE MEADOWS REHABILITATION AND CARE CENTER",0.000999999999999999,"6.85%"
"1120","BROOKESTONE VILLAGE",0.01128,"99.38%"
"1121","BROOKFIELD REHAB AND SPECIALTY CARE CTR",-0.00229,"-6.71%"
"1122","BROOKHAVEN HEALTH CARE CENTER",-0.00152,"-6.34%"
"1123","BROOKHAVEN HEALTH CARE FACILITY L L C",-0.00947,"-100%"
"1124","BROOKHAVEN MANOR",-0.03748,"-100%"
"1125","BROOKHAVEN MEDICAL CARE FACILI",-0.02313,"-32.22%"
"1126","BROOKHAVEN NURSING AND REHABILITATION CENTER",0.00468,"10.21%"
"1127","BROOKHAVEN REHAB AND HEALTH CARE CENTER L L C",-0.00034,"-6.09%"
"1128","BROOKHOLLOW HEIGHTS TRANSITIONAL CARE CENTER",-0.00559,"-18.45%"
"1129","BROOKLINE MANOR AND REHABILITATIVE SERVICES",0.00063,"6.4%"
"1130","BROOKLYN COMMUNITY ESTATES",-0.00593,"-6.51%"
"1131","BROOKLYN CTR FOR REHAB AND RESIDENTIAL HLTH CARE",-0.00456,"-39.34%"
"1132","BROOKLYN GARDENS NURSING & REHABILITATION CENTER",-0.00203,"-10.34%"
"1133","BROOKLYN QUEENS NURSING HOME",-0.00454,"-41.54%"
"1134","BROOKLYN UNITED METHODIST CHURCH HOME",-0.00135,"-16.32%"
"1135","BROOKMONT HEALTHCARE CENTER LLC",-0.00662,"-12.69%"
"1136","BROOKRIDGE COVE REHABILITATION AND CARE  CENTER",-0.01612,"-100%"
"1137","BROOKRIDGE RETIREMENT COMMUNITY",-0.02778,"-35.48%"
"1138","BROOKSHIRE HEALTHCARE CENTER",0.00219,"14.99%"
"1139","BROOKSHIRE NURSING CENTER",-0.00496,"-10.43%"
"1140","BROOKSIDE CARE CENTER",0.00794,"57.08%"
"1141","BROOKSIDE HAVEN HEALTH CARE CENTER",0.000489999999999997,"1.26%"
"1142","BROOKSIDE HEALTHCARE CENTER",-0.02044,"-100%"
"1143","BROOKSIDE INN",-0.03591,"-100%"
"1144","BROOKSIDE NURSING CENTER",-0.01071,"-25.68%"
"1145","BROOKSIDE REHABILITATION AND HEALTHCARE CENTER",-0.00378,"-10.49%"
"1146","BROOKSIDE SKILLED NURSING HOSPITAL",-0.00903,"-19.27%"
"1147","BROOKVIEW A VILLA CENTER",-0.00366,"-21.02%"
"1148","BROOKVIEW HEALTH CARE CENTER",-0.00953,"-24.01%"
"1149","BROOKVILLE HEALTHCARE CENTER",-0.00594,"-34.43%"
"1150","BROOMALL MANOR",-0.00386,"-15.05%"
"1151","BROOMALL REHABILITATION AND NURSING CENTER",0.00271,"46.25%"
"1152","BROOMFIELD SKILLED NURSING AND REHABILITATION CTR",-0.04946,"-100%"
"1153","BROTHERS OF MERCY NURSING & REHABILITATION CENTER",-0.00966,"-71.45%"
"1154","BROWARD NURSING & REHABILITATION CENTER",0.01084,"103.73%"
"1155","BROWN COUNTY HEALTH AND LIVING COMMUNITY",-0.00721,"-43.7%"
"1156","BROWN CTY COMM TREATMENT CTR-BAYSHORE VILLAGE",-0.00077,"-4.46%"
"1157","BROWN HEALTH AND REHABILITATION",0.00076,"7.27%"
"1158","BROWNFIELD REHABILITATION AND CARE CENTER",-0.0323,"-64.38%"
"1159","BROWNSBURG MEADOWS",-0.0065,"-53.32%"
"1160","BROWNSVILLE NURSING AND REHABILITATION CENTER",-0.02159,"-67.26%"
"1161","BROWNWOOD NURSING AND REHABILITATION LP",0.00314,"11.81%"
"1162","BRUCE MCCANDLESS CO STATE VETERANS NURSING HOME",0.01677,"64.11%"
"1163","BRUCEVILLE TERRACE-D/P SNF OF METHODIST HOSP",0.01613,"135.21%"
"1164","BRUNSWICK COVE NURSING CENTER",-0.04388,"-100%"
"1165","BRUSH COUNTRY NURSING AND REHABILITATION",-0.000640000000000002,"-1.76%"
"1166","BRUSH HILL CARE CENTER",-0.01253,"-100%"
"1167","BRYAN CENTER",-0.000320000000000001,"-3.88%"
"1168","BRYAN COUNTY HLTH & REHAB CTR",0.00668,"40.61%"
"1169","BRYANT HEALTH AND REHABILITATION CENTER",0.00781,"26.44%"
"1170","BRYDEN PLACE",0.00033,"5.19%"
"1171","BUCKINGHAM AT NORWOOD, THE",-0.00532,"-48.41%"
"1172","BUCKINGHAM PAVILION",-0.0037,"-18.18%"
"1173","BUCKINGHAM VALLEY REHAB & NURSING CENTER",-0.00255,"-26.9%"
"1174","BUCKLEY-GREENFIELD HEALTHCARE CENTER",0.0102,"22.76%"
"1175","BUCKNER VILLA SIESTA HOME",-0.0484,"-100%"
"1176","BUCKTAIL MEDICAL CENTER",0.03414,"148.31%"
"1177","BUDD TERRACE AT WESLEY WOODS",-0.01867,"-46.92%"
"1178","BUENA PARK NURSING CENTER",-0.00911,"-18.62%"
"1179","BUENA VENTURA  POST ACUTE CARE CENTER",0.01047,"81.99%"
